,title,year,rating,certificate,votes,runtime,gener,voice_artist1,voice_artist2,voice_artist3,voice_artist4
159,Wolf's Rain,2003–2004,8,NA,"7,224",25,"Action, Sci-Fi, Animation            ",Darren Pleavin,Kenta Miyake,Akio Suyama,Crispin Freeman
160,Kyaputen Tsubasa,1983–1995,8,NA,"5,914",30,"Animation, Drama, Family            ",Arihiro Hase,Kôichi Hashimoto,Akari Hibino,Ken'yû Horiuchi
161,Kyandi Kyandi,1976–1979,8,NA,"1,540",30,"Animation, Drama, Family            ",Minori Matsushima,Kazuhiko Inoue,Makio Inoue,Mami Koyama
162,Kadokyaputa Sakura,1998–2000,8,NA,"4,466",30,"Animation, Action, Adventure            ",Sakura Tange,Huyen Chi,Andrea Kwan,Junko Iwao
163,Shôjo kakumei Utena,1997,8,NA,"1,382",24,"Animation, Comedy, Drama            ",Tomoko Kawakami,Yuriko Fuchizaki,Sharon Becker,Rachael Lillis
164,Rupan sansei: Part II,1977–1980,8,NA,"1,546",30,"Animation, Action, Adventure            ",Yasuo Yamada,Kiyoshi Kobayashi,Gorô Naya,Makio Inoue
165,Kidô Senshi Gundam,1979–1980,8,NA,"1,881",30,"Animation, Action, Drama            ",Hirotaka Suzuoki,Tôru Furuya,Toshio Furukawa,Kiyonobu Suzuki
166,Carole & Tuesday,2019,7.9,NA,"1,556",22,"Animation, Drama, Music            ",Miyuri Shimabukuro,Kana Ichinose,Celeina Ann,Akio Ôtsuka
167,Little Witch Academia,2017,7.9,NA,"2,445",25,"Animation, Comedy, Family            ",Megumi Han,Erica Mendez,Alexis Nichols,Fumiko Orikasa
168,Kidou Senshi Gundam: Tekketsu no Orphans,2015–    ,7.9,NA,"1,262",24,"Animation, Action, Drama            ",Bill Rogers,Adin Rudd,Jennifer Alyx,Sean Finkle
169,Yu-Gi-Oh!,1998,7.9,NA,"1,595",25,"Animation, Adventure, Comedy            ",Yumi Kakazu,Toshiyuki Morikawa,Megumi Ogata,Ryôtarô Okiayu
170,Akame ga Kill!,2014,7.9,18,"17,570",24,"Animation, Action, Comedy            ",Sôma Saitô,Corey Hartzog,Sora Amamiya,Molly Searcy
171,Noragami,2014–2016,7.9,NA,"11,525",24,"Animation, Action, Adventure            ",Hiroshi Kamiya,Maaya Uchida,Yûki Kaji,Bryn Apprill
172,Bishôjo senshi Sêrâ Mûn Crystal,2014–    ,7.9,NA,"1,781",24,"Animation, Action, Drama            ",Patricia Acevedo,Kotono Mitsuishi,Ryô Hirohashi,Kenji Nojima
173,Kiru ra kiru: KILL la KILL,2013–2014,7.9,NA,"11,325",25,"Animation, Action, Comedy            ",Ami Koshimizu,Aya Suzaki,Toshihiko Seki,Shin'ichirô Miki
174,RWBY,2012–    ,7.9,NA,"5,187",13,"Animation, Action, Adventure            ",Lindsay Jones,Kara Eberle,Barbara Dunkelman,Arryn Zech
175,Yahari ore no seishun rabukome wa machigatteiru.,2013–    ,7.9,NA,"4,228",24,"Animation, Comedy, Drama            ",Takuya Eguchi,Saori Hayami,Nao Tôyama,Melissa Molano
176,Durarara!!,2010,7.9,NA,"6,481",24,"Animation, Comedy, Crime            ",Brian Beacock,Johnny Yong Bosch,Doug Erholtz,Crispin Freeman
177,Eve no jikan,2008–2009,7.9,NA,"1,191",15,"Animation, Sci-Fi            ",Jun Fukuyama,Miki Itô,Motomu Kiyokawa,Yûko Mizutani
178,Tôkyô magunichûdo 8.0,2009,7.9,NA,"1,389",23,"Animation, Drama            ",Satomi Hanamura,Yumiko Kobayashi,Christel Takigawa,Luci Christian
179,Sukippu bîto!,2008–    ,7.9,NA,"1,252",24,"Animation, Comedy, Drama            ",Jennifer Alyx,Kira Buckland,Christine Marie Cabanos,Robbie Daymond
180,Tower of God,2020–    ,7.9,NA,"3,429",23,"Animation, Action, Adventure            ",Matthew David Rudd,Johnny Yong Bosch,Chris Hackney,Cherami Leigh
181,Clannad,2007–2008,7.9,NA,"8,066",30,"Animation, Comedy, Drama            ",Yûichi Nakamura,David Matranga,Mai Nakahara,Luci Christian
182,Basilisk: Kôga ninpô chô,2005,7.9,NA,"3,671",25,"Animation, Drama, Fantasy            ",Laura Bailey,Nana Mizuki,Kôsuke Toriumi,Troy Baker
183,Higurashi no naku koro ni,2006–2013,7.9,18,"4,846",24,"Animation, Horror, Mystery            ",Megan Hollingshead,John Snyder,Sôichirô Hoshi,Mai Nakahara
184,Kôkyô shihen Eureka Sebun,2005–2006,7.9,NA,"2,876",25,"Animation, Adventure, Drama            ",Yûko Sanpei,Keiji Fujiwara,Kaori Nazuka,Johnny Yong Bosch
185,Hachimitsu to kurôbâ,2005–    ,7.9,NA,"1,096",25,"Animation, Comedy, Drama            ",Haruka Kudô,Tomokazu Sugita,Hiroshi Kamiya,Yûji Ueda
186,Gangureivu,2003–2004,7.9,NA,"4,638",25,"Animation, Action, Crime            ",Kirk Thornton,Lex Lang,Beau Billingslea,Steve Blum
187,Fruits Basket,2001,7.9,NA,"5,293",24,"Animation, Comedy, Drama            ",Eric Vale,Laura Bailey,Yui Horie,Aya Hisakawa
188,"Ima, soko ni iru boku",1999–2000,7.9,NA,"1,621",25,"Animation, Action, Drama            ",Crispin Freeman,Dan Green,Ted Lewis,Dan Olk
189,Inuyasha,2000–2004,7.9,16,"14,791",24,"Animation, Action, Adventure            ",Kappei Yamaguchi,Richard Ian Cox,Darren Pleavin,Satsuki Yukino
190,Gakkô no kaidan,2000–2001,7.9,NA,"1,079",24,"Animation, Comedy, Horror            ",Takako Honda,Kurumi Mamiya,Tomoko Kawakami,Makoto Tsumura
191,Outlaw Star,1998–    ,7.9,NA,"3,459",26,"Animation, Action, Adventure            ",Ayako Kawasumi,Bob Buchholz,Bridget Hoffman,Emilie de Azevedo Brown
192,Kureyon Shin-chan,2006–2011,7.9,G,"5,110",25,"Animation, Comedy            ",Laura Bailey,Akiko Yajima,Cynthia Cranz,Colleen Clinkenbeard
193,Dejimon Adobenchâ,1999–2000,7.9,NA,"5,856",30,"Animation, Action, Adventure            ",Hiroaki Hirata,Toshiko Fujita,Chika Sakamoto,Yûko Mizutani
